,id,Airport Name,City,Country,IATA Code,ICAO Code,Latitude,Longitude,Altitude,UTC TimeZone,DST,Continent/State
6328,7048,Volk Field,Camp Douglas,United States,VOK,KVOK,43.9389992,-90.2534027,912,-6,A,America/Chicago
6329,11074,Jim Kelly Field,Lexington,United States,LXN,KLXN,40.7910004,-99.777298,2413,-5,A,\N
6330,11070,Brewster Field,Holdredge,United States,HDE,KHDE,40.452099,-99.336502,2313,-5,A,\N
6331,11071,Pratt Regional Airport,Pratt,United States,PTT,KPTT,37.7015991,-98.7469025,1953,-5,A,\N
6332,7061,Lake Cumberland Regional Airport,Somerset,United States,SME,KSME,37.0533981,-84.6158981,927,-5,A,America/New_York
6333,7062,Shenandoah Valley Regional Airport,Weyers Cave,United States,SHD,KSHD,38.2638016,-78.8964005,1201,-5,A,America/New_York
6334,3761,Henry Post Army Air Field (Fort Sill),Fort Sill,United States,FSI,KFSI,34.6497994,-98.4021988,1189,-6,A,America/Chicago
6335,7063,Devils Lake Regional Airport,Devils Lake,United States,DVL,KDVL,48.1142006,-98.9087982,1456,-6,A,America/Chicago
6336,11022,Thomas C Russell Field,Alexander City,United States,ALX,KALX,32.9146996,-85.9629974,686,-5,A,\N
6337,7056,Charlotte County Airport,Punta Gorda,United States,PGD,KPGD,26.9202004,-81.9905014,26,-5,A,America/New_York
6338,7058,Northern Aroostook Regional Airport,Frenchville,United States,WFK,KFVE,47.2854996,-68.3127975,988,-5,A,America/New_York
6339,7054,Manistee Co Blacker Airport,Manistee,United States,MBL,KMBL,44.2723999,-86.2469025,621,-5,A,America/New_York
6340,11035,Meriden Markham Municipal Airport,Meriden,United States,\N,KMMK,41.5087013,-72.8294983,103,-5,A,\N
6341,7059,Chautauqua County-Jamestown Airport,Jamestown,United States,JHW,KJHW,42.1534004,-79.2580032,1723,-5,A,America/New_York
6342,4262,Lake Tahoe Airport,South Lake Tahoe,United States,TVL,KTVL,38.8939018,-119.995003,6264,-8,A,America/Los_Angeles
6343,4261,Flagstaff Pulliam Airport,Flagstaff,United States,FLG,KFLG,35.1385002,-111.670998,7014,-7,N,America/Phoenix
